GENESIS-Tabelle: 12421-0002
Projected population figures: Germany, reference date,;;;;;;;;;;;;;;
variants of the population projection, sex, age years;;;;;;;;;;;;;;
Population projections;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
Projected population figures (1000);;;;;;;;;;;;;;
;;;;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;;;;2022-12-31;2025-12-31;2030-12-31;2035-12-31;2040-12-31;2045-12-31;2050-12-31;2055-12-31;2060-12-31;2065-12-31;2070-12-31
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;under 1 year;385.8;388.6;379.7;361.1;350.2;352.0;355.6;350.6;340.2;329.4;320.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;5 years;425.7;415.5;396.1;385.3;366.4;355.6;357.4;361.0;356.1;345.6;334.9
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;10 years;397.8;423.2;423.0;401.7;390.6;371.7;360.9;362.7;366.4;361.4;351.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;15 years;399.3;404.3;430.9;428.6;407.1;396.0;377.2;366.4;368.2;371.9;366.9
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;20 years;422.7;413.5;421.9;444.0;441.5;420.0;409.0;390.2;379.4;381.3;385.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;25 years;520.6;484.8;436.0;438.5;459.8;457.3;436.0;425.0;406.2;395.6;397.4
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;30 years;530.2;515.4;499.2;446.6;448.5;469.9;467.5;446.2;435.3;416.6;406.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;35 years;580.9;597.9;522.7;504.4;451.7;453.7;475.2;472.8;451.6;440.8;422.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;40 years;548.3;550.3;600.8;524.7;506.5;454.1;456.3;477.8;475.6;454.5;443.9
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;45 years;500.1;540.7;550.9;600.3;524.8;506.9;455.0;457.3;478.9;476.9;456.1
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;50 years;520.3;473.7;537.2;547.0;596.3;521.9;504.6;453.4;455.9;477.7;475.9
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;55 years;672.3;581.1;465.1;527.9;538.3;587.5;514.8;498.2;448.1;451.1;472.9
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;60 years;656.1;670.1;561.3;450.3;512.3;523.5;572.4;502.5;487.0;438.7;442.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;65 years;530.9;587.7;631.7;531.4;427.6;488.4;500.6;549.1;483.2;469.5;423.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;70 years;433.2;453.9;536.7;580.7;491.0;397.0;455.6;469.1;516.8;456.4;445.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;75 years;320.6;374.5;397.0;473.5;516.2;439.4;357.5;412.9;427.6;473.7;420.4
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;80 years;272.4;197.3;303.9;326.0;393.1;432.9;371.8;305.1;355.4;371.0;414.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;85 years;204.2;236.9;136.5;214.4;233.9;286.6;320.3;279.1;232.0;273.9;289.4
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;90 years;62.2;88.6;117.2;69.6;112.5;126.2;158.7;181.9;162.3;138.0;166.5
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;95 years;14.0;16.7;24.7;34.4;21.4;36.2;42.3;55.5;66.1;61.2;54.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;100 years and over;3.7;3.1;4.6;7.0;11.4;10.0;13.9;18.1;25.0;33.4;35.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;Total;41363.7;41324.2;41129.7;40728.1;40218.1;39626.5;38990.3;38347.4;37759.1;37260.8;36800.7
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;under 1 year;366.2;369.0;360.6;342.8;332.5;334.2;337.6;332.9;322.9;312.7;304.5
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;5 years;403.9;392.7;376.8;366.3;348.3;338.0;339.7;343.2;338.4;328.5;318.4
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;10 years;375.7;400.1;400.1;382.3;371.6;353.6;343.3;345.0;348.5;343.7;333.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;15 years;375.5;382.0;407.3;405.4;387.3;376.6;358.6;348.4;350.1;353.5;348.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;20 years;398.8;389.0;399.1;420.1;418.0;400.0;389.3;371.3;361.1;362.8;366.3
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;25 years;476.0;453.6;415.1;418.4;438.5;436.4;418.4;407.7;389.8;379.6;381.3
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;30 years;498.9;478.8;471.8;428.5;431.1;451.2;449.1;431.2;420.5;402.6;392.4
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;35 years;555.4;567.8;490.2;480.2;436.5;439.1;459.2;457.2;439.3;428.7;410.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;40 years;541.8;539.0;575.0;495.5;485.2;441.7;444.4;464.5;462.5;444.7;434.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;45 years;501.0;545.7;543.7;578.0;498.6;488.5;445.2;448.0;468.2;466.3;448.6
