	Female	Female	Female	Male	Male	Male
	2022	2040	Percentage Change	2022	2040	Percentage Change
State						
Baden-Wuerttemberg	5690.7	5854.4	2.876623262516032	5517.4	5655.9	2.5102403305904955
Bayern	6764.8	7036.1	4.010465941343427	6616.1	6877.3	3.947945164069464
Berlin	1925.6	2085.5	8.30390527627753	1845.1	1990.2	7.864072407999574
Brandenburg	1303.5	1308.2	0.36056770233985774	1260.1	1246.7	-1.0634076660582386
Bremen	348.7	353.0	1.2331517063378297	338.8	344.7	1.7414403778040075
Hamburg	961.7	1010.8000000000001	5.1055422688988275	917.7	960.5	4.663833496785437
Hessen	3236.8	3293.8	1.7609985170538804	3142.0	3189.5	1.5117759388924252
Mecklenburg-Vorpommern	825.7	792.3000000000001	-4.0450526825723605	797.0	748.0	-6.148055207026349
Niedersachsen	4136.4	4208.3	1.7382264771298845	4009.1	4049.1	0.9977301638771795
Nordrhein-Westfalen	9224.9	9174.8	-0.5430953181064333	8856.0	8819.3	-0.4144083107497824
Rheinland-Pfalz	2108.5	2137.1	1.3564145126867397	2051.2	2066.8	0.7605304212168664
Saarland	504.3	476.8	-5.453103311520921	485.3	456.7	-5.893261899855764
Sachsen	2066.0	1954.5	-5.396902226524685	1999.3	1883.7	-5.782023708297899
Sachsen-Anhalt	1105.9	985.9	-10.850890677276436	1065.9	943.8	-11.455108359133138
Schleswig-Holstein	1511.9	1540.6	1.8982736953502093	1444.1000000000001	1459.2	1.0456339588671082
Thueringen	1072.6	969.6	-9.602834234570192	1046.0	938.1	-10.315487571701718
