	Female	Female	Female	Male	Male	Male
	2040	2070	Percentage Change	2040	2070	Percentage Change
State						
Baden-Wuerttemberg	5854.4	5760.4	-1.6056299535392184	5655.9	5620.9	-0.6188228221856823
Bayern	7036.1	6972.1	-0.9095948039396824	6877.3	6880.5	0.046529888182859816
Berlin	2085.5	2272.5	8.96667465835531	1990.2	2162.7	8.667470605969237
Brandenburg	1308.2	1194.7	-8.676043418437548	1246.7	1142.9	-8.325980588754307
Bremen	353.0	364.2	3.1728045325779006	344.7	360.0	4.438642297650134
Hamburg	1010.8000000000001	1041.5	3.0371982588049002	960.5	992.8	3.3628318584070747
Hessen	3293.8	3228.1	-1.9946566276033841	3189.5	3163.7	-0.8089042169619121
Mecklenburg-Vorpommern	792.3000000000001	696.5	-12.09137952795659	748.0	657.6	-12.0855614973262
Niedersachsen	4208.3	4119.4	-2.112491980134509	4049.1	4020.8	-0.6989207478204966
Nordrhein-Westfalen	9174.8	8730.6	-4.841522431006659	8819.3	8535.4	-3.219076343927519
Rheinland-Pfalz	2137.1	2051.6	-4.000748678115203	2066.8	2012.0	-2.6514418424617854
Saarland	476.8	431.6	-9.479865771812078	456.7	421.9	-7.619881760455444
Sachsen	1954.5	1806.0	-7.597851112816577	1883.7	1743.7	-7.432181345224824
Sachsen-Anhalt	985.9	847.3	-14.058220914900094	943.8	818.5	-13.276117821572363
Schleswig-Holstein	1540.6	1449.1	-5.939244450214202	1459.2	1397.8	-4.207785087719304
Thueringen	969.6	849.9	-12.345297029702975	938.1	827.9	-11.747148491632027
