	Female	Female	Female	Male	Male	Male
	2022	2070	Percentage Change	2022	2070	Percentage Change
State						
Baden-Wuerttemberg	5690.7	5760.4	1.2248053842233788	5517.4	5620.9	1.8758835683474102
Bayern	6764.8	6972.1	3.0643921475875144	6616.1	6880.5	3.9963120267226855
Berlin	1925.6	2272.5	18.015164104694648	1845.1	2162.7	17.21315917836431
Brandenburg	1303.5	1194.7	-8.34675872650556	1260.1	1142.9	-9.300849138957211
Bremen	348.7	364.2	4.445081732147979	338.8	360.0	6.257378984651709
Hamburg	961.7	1041.5	8.29780596859727	917.7	992.8	8.183502233845473
Hessen	3236.8	3228.1	-0.26878398418191646	3142.0	3163.7	0.6906429026097969
Mecklenburg-Vorpommern	825.7	696.5	-15.647329538573338	797.0	657.6	-17.490589711417815
Niedersachsen	4136.4	4119.4	-0.41098539793056765	4009.1	4020.8	0.29183607293408176
Nordrhein-Westfalen	9224.9	8730.6	-5.358323667465222	8856.0	8535.4	-3.620144534778685
Rheinland-Pfalz	2108.5	2051.6	-2.6986009011145407	2051.2	2012.0	-1.9110764430577136
Saarland	504.3	431.6	-14.416022209002573	485.3	421.9	-13.06408407170823
Sachsen	2066.0	1806.0	-12.584704743465633	1999.3	1743.7	-12.784474566098131
Sachsen-Anhalt	1105.9	847.3	-23.38366940953071	1065.9	818.5	-23.2104324983582
Schleswig-Holstein	1511.9	1449.1	-4.153713869964957	1444.1000000000001	1397.8	-3.2061491586455353
Thueringen	1072.6	849.9	-20.762632854745476	1046.0	827.9	-20.850860420650097
